points_3game_avg,points_5game_avg,fga_3game_avg,game_number,def_rating,opp_pts_allowed,pace,is_home_game,target
10.0,9.6,7.0,6,111.1,0.0,99.46,0.0,0
9.333333333333334,10.0,7.0,7,111.1,0.0,99.46,0.0,1
6.333333333333333,9.2,7.333333333333333,8,111.1,0.0,99.46,0.0,0
6.666666666666667,7.2,6.666666666666667,9,111.1,0.0,99.46,0.0,0
7.0,7.2,7.333333333333333,10,111.1,0.0,99.46,0.0,1
8.0,8.0,7.0,11,111.1,0.0,99.46,0.0,0
10.666666666666666,8.0,9.333333333333334,12,111.1,0.0,99.46,0.0,1
11.666666666666666,10.4,9.0,13,111.1,0.0,99.46,0.0,1
16.666666666666668,14.0,11.0,14,111.1,0.0,99.46,0.0,1
18.666666666666668,15.0,11.0,15,111.1,0.0,99.46,0.0,1
17.333333333333332,16.0,10.666666666666666,16,111.1,0.0,99.46,0.0,0
13.0,15.4,8.666666666666666,17,111.1,0.0,99.46,0.0,0
10.666666666666666,14.4,8.0,18,111.1,0.0,99.46,0.0,0
8.0,10.8,6.333333333333333,19,111.1,0.0,99.46,0.0,0
8.0,9.0,7.666666666666667,20,111.1,0.0,99.46,0.0,1
9.0,9.4,7.0,21,111.1,0.0,99.46,0.0,1
8.333333333333334,8.0,7.0,22,111.1,0.0,99.46,0.0,0
7.0,6.8,5.666666666666667,23,111.1,0.0,99.46,0.0,0
7.666666666666667,9.2,7.0,24,111.1,0.0,99.46,0.0,1
13.333333333333334,11.2,9.666666666666666,25,111.1,0.0,99.46,0.0,1
15.0,10.4,9.0,26,111.1,0.0,99.46,0.0,0
16.0,13.8,8.666666666666666,27,111.1,0.0,99.46,0.0,1
13.666666666666666,15.2,7.0,28,111.1,0.0,99.46,0.0,0
13.333333333333334,13.8,8.0,29,111.1,0.0,99.46,0.0,0
7.666666666666667,10.4,5.333333333333333,30,111.1,0.0,99.46,0.0,0
7.333333333333333,10.6,6.0,31,111.1,0.0,99.46,0.0,1
5.333333333333333,7.4,4.0,32,111.1,0.0,99.46,0.0,0
